ice,rain,wind,dry,snow,cold,danger
0,0.00,14.99,0,0,44.10,0
0,0.00,16.11,1,0,41.00,1
0,0.00,17.00,1,0,34.00,1
0,1.16,27.96,0,0,60.10,1
0,0.04,23.04,0,0,71.10,1
0,0.19,12.97,0,0,46.00,0
0,0.00,21.03,0,0,66.90,1
0,0.03,14.99,0,0,48.90,0
0,0.04,17.00,0,0,57.90,0
0,0.00,25.05,0,0,79.00,1
0,0.00,23.04,1,0,80.10,1
0,0.00,17.00,1,0,86.00,1
0,0.09,12.97,0,0,43.00,0
0,0.06,16.11,0,0,64.90,0
0,0.00,16.11,0,0,69.10,0
0,0.85,18.12,0,0,64.00,0
0,0.00,19.91,0,0,64.00,0
0,0.00,21.92,1,0,66.90,1
0,0.00,16.11,1,0,70.00,1
0,0.00,19.91,1,0,77.00,1
0,0.00,12.97,1,0,73.90,1
0,0.00,16.11,1,0,75.00,1
0,0.00,21.92,1,0,82.00,1
0,0.00,16.11,1,0,87.10,1
0,0.00,14.99,1,0,89.10,1
0,0.00,14.09,1,0,82.00,1
0,0.00,12.97,1,0,84.90,1
0,0.10,14.99,0,0,88.00,0
0,0.00,12.08,0,0,84.90,0
0,0.00,12.08,1,0,93.90,1
0,1.98,14.99,0,0,87.10,0
0,0.00,14.09,0,0,93.00,0
0,0.00,10.07,1,0,91.90,1
0,0.00,12.97,1,0,93.00,1
0,0.54,14.99,0,0,89.10,0
0,0.00,17.00,0,0,93.90,0
0,0.00,12.97,1,0,90.00,1
